runcat,eta,V,maxFlx,avgFlx,freq,dpts,newSrc,ra,dec
30709,0.39364250766063547,0.1102636796647814,0.28516542867489214,0.273081650566509,148.9242553711,5,N,190.14123483194007,53.354567229211085
30710,0.343732331116128,0.08986417312772678,0.35924324191573154,0.3243385781573374,148.9242553711,6,N,190.1276550029112,53.463646618016064
30711,0.10685656549982944,0.012423411967737632,1.2160552027826905,1.1984905766892173,148.9242553711,6,N,190.0503246089236,53.57646187291844
30712,0.6215559989417577,0.08005717212835724,0.45405358264441914,0.3956279018828478,148.9242553711,6,N,189.99864776806663,52.41065445730043
30713,0.3392776281997826,0.04775714118536218,0.5664241180064082,0.5360558834549678,148.9242553711,6,N,189.99329040035994,52.58519745356569
30714,0.3909081968103141,0.03867933893441188,0.7057632626152831,0.6739280215757814,148.9242553711,6,N,189.76020316449316,53.103882809340426
30715,1.353476998885777,0.025138746004468384,2.1543014268306444,2.1069395521873426,148.9242553711,6,N,189.70592718145565,52.82526446989238
30716,0.3529273100381155,0.05240357192350577,0.43602275083597103,0.4068031230605485,148.9242553711,3,N,187.19846288702433,51.26837191498781
30717,0.6797471673216736,0.04519516625177546,0.7208311826413051,0.6977436627192479,148.9242553711,6,N,186.58405839758188,51.74910172211459
30718,0.7339294093281581,0.062487083346767294,0.6059112354108587,0.5921060052244381,148.9242553711,6,N,186.36619081107528,50.14843581855495
30719,0.10386200721195109,0.04469078630116648,0.2487105418564697,0.23780980703015062,148.9242553711,6,N,186.2648625776862,51.55262553355564
30720,0.7219306257816006,0.08744416582094124,0.43856759314964694,0.42943420391472487,148.9242553711,6,N,186.0912525608387,49.94795090609831
30721,0.7948395548123596,0.06716186575844181,0.564739955105317,0.5397362070210923,148.9242553711,6,N,185.92917787165,50.63165988413701
30722,0.2491927665093924,0.03233348912334275,0.5832172243086154,0.5664139298255704,148.9242553711,6,N,185.82580267757444,51.26469015454538
30723,0.37678705940825724,0.08315348191816468,0.28925494524443224,0.2547502943108935,148.9242553711,6,N,185.76717626143093,51.060017429272726
30724,7.083312087340213,0.019265574048764108,6.265484034672685,6.179282296277517,148.9242553711,6,N,185.71587104701527,50.4488537050126
30725,0.6999911179541444,0.0979869357700178,0.37294992116070164,0.3424955558553463,148.9242553711,6,N,185.5582158891777,50.082806917598916
30726,0.7330705346654538,0.038481696347305874,0.872553905065576,0.8485775748569027,148.9242553711,6,N,185.36716933608056,50.815517575013395
30727,2.558347512234371,0.04330741806258243,1.655774656162375,1.6447403198026356,148.9242553711,6,N,185.348762364236,50.59020048769954
30728,0.47374012475440236,0.022032889557446797,1.2003098128858762,1.1847309819841243,148.9242553711,6,N,185.28817987444484,51.84917053328659
30729,0.2148539495828452,0.050195567211792226,0.36349865329263514,0.3362126657704386,148.9242553711,6,N,185.06320481586113,51.65060194047174
30731,2.5254918765785064,0.0319730112293126,2.137412337315551,2.006211656010967,148.9242553711,3,N,184.66965832403537,50.431868071630156
30732,1.5399871737506399,0.10607507525199562,0.44749381731554566,0.41454972314133637,148.9242553711,6,N,187.05526382269738,54.6769997072012
30733,0.21635733243267793,0.06973169283241686,0.27172388369464234,0.24853518221331894,148.9242553711,4,N,186.83571782194704,55.080195221133394
30734,0.15285197627109928,0.044661392683438,0.37327623093987256,0.3637000313390781,148.9242553711,6,N,186.81741392255657,55.526974376763114
30735,0.39617701676302414,0.017871033825372383,1.3744121560072422,1.3389415332207002,148.9242553711,6,N,186.2874496972005,54.99502926473929
