runcat,eta,V,maxFlx,avgFlx,freq,dpts,newSrc
141,0.600298843885193,0.13250222446216,0.000436148584298632,0.000298117176963918,1283.8955078125,64,N
815,0.311494228851339,0.23716610325727,0.000259291549295993,0.000144086126626846,1283.8955078125,38,N
264,145.440488043046,0.0388252646149073,0.102596876703394,0.0921701779658017,1283.8955078125,65,N
223,14.9047635668543,0.0286671981953756,0.0219430366045697,0.0197788919450452,1283.8955078125,65,N
502,0.470141410794949,0.195776647596024,0.000546226475287797,0.00033196711909427,1283.8955078125,61,N
257,8.4818018353811,0.0379985980039456,0.0201612633508092,0.0182441892489687,1283.8955078125,65,N
1045,0.589348066106368,0.522652726894425,0.000248746906206073,8.88068365077549e-05,1283.8955078125,8,N
890,0.97815029160367,0.828137752277734,0.000144835157562903,4.27766432490111e-05,1283.8955078125,2,N
1375,0.396119958548958,0.381856049005749,0.000153040289640017,7.8008491152021e-05,1283.8955078125,12,N
869,0.721783015289646,0.257048172315021,0.000243177307554266,0.000163181198086716,1283.8955078125,54,N
499,0.417209398511357,0.124775030716532,0.000634351666807059,0.000377372905088128,1283.8955078125,65,N
495,2.06738337788452,0.105218363121885,0.00710302964826462,0.00420649825319928,1283.8955078125,65,N
80,0.476512638685157,0.0739262597247601,0.00144810979163598,0.000979999217571259,1283.8955078125,65,N
509,0.508958763641553,0.13776749169246,0.00141456363872359,0.000705544132611303,1283.8955078125,65,N
1192,0.645008391864873,0.173756982671465,0.000363328043480687,0.000275086565879257,1283.8955078125,61,N
204,23.1675876755856,0.0319471733553674,0.0189271250871851,0.0168140683141575,1283.8955078125,65,N
814,0.702548469194748,0.480316013642055,0.000448828611381881,0.000123533607759625,1283.8955078125,36,N
550,1.23245759054209,0.122107613247824,0.0033052525526235,0.00239757345144277,1283.8955078125,65,N
865,0.278420514450965,0.134640967367443,0.000252279389338781,0.000188701523343878,1283.8955078125,61,N
649,0.294015338064713,0.20192861882194,0.000422270100446486,0.000230180165270206,1283.8955078125,48,N
246,3.2195142410198,0.0732445921440847,0.00201870929380185,0.00166054406273302,1283.8955078125,65,N
696,0.459812358586589,0.271614766476967,0.000324249060188841,0.00017516076487834,1283.8955078125,38,N
390,0.66371957153548,0.665016572593153,0.000607524057059053,0.000116547957413561,1283.8955078125,11,N
863,0.494528494835505,0.498569262277703,0.000137228099156169,5.74225459510833e-05,1283.8955078125,5,N
961,0.492885386938953,0.308357066609385,0.000230078034009728,0.000138946350899215,1283.8955078125,29,N
77,0.385868583847428,0.158712162674229,0.000327393997443382,0.000220165603173215,1283.8955078125,62,N
968,0.37842360121029,0.202640096656885,0.000251408501241033,0.000170109218482261,1283.8955078125,56,N
1183,0.415816525799273,0.338657656588034,0.000237858176632113,0.000163092132447421,1283.8955078125,24,N
